,symbol,country,currency,estimateCurrency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl,date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,year
22,AEP,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,1949-09-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AEP.png,46223.30887200001,American Electric Power Company Inc,16147161000.0,527.12,AEP,https://www.aep.com/,2024-10-31,,1.8181,amc,3,,5316978016.0,2024
23,AEP,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,1949-09-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AEP.png,46223.30887200001,American Electric Power Company Inc,16147161000.0,527.12,AEP,https://www.aep.com/,2024-07-30,,1.2615,amc,2,,4596128553.0,2024
24,AES,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1991-06-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AES.png,12564.586164,AES Corp,17035221315.0,710.67,AES,https://www.aes.com/,2024-10-31,,0.5672,amc,3,,3507639100.0,2024
25,AES,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,1991-06-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AES.png,12564.586164,AES Corp,17035221315.0,710.67,AES,https://www.aes.com/,2024-08-02,,0.3501,amc,2,,3120026350.0,2024
26,AFL,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1974-06-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AFL.png,50532.019282,Aflac Inc,17063233431.0,568.22,AFL,https://www.aflac.com/,2024-10-30,,1.6382,amc,3,,4380338488.0,2024
27,AFL,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1974-06-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AFL.png,50532.019282,Aflac Inc,17063233431.0,568.22,AFL,https://www.aflac.com/,2024-07-31,,1.6184,amc,2,,4371951650.0,2024
28,AIG,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1984-10-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AIG.png,50272.85325600001,American International Group Inc,12127707000.0,663.67,AIG,https://www.aig.com,2024-10-30,,1.5955,amc,3,,6751452736.0,2024
29,AIG,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1984-10-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AIG.png,50272.85325600001,American International Group Inc,12127707000.0,663.67,AIG,https://www.aig.com,2024-07-31,,1.808,amc,2,,8674512936.0,2024
30,AIV,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1994-07-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959034536.png,1204.961577,Apartment Investment and Management Co,13032247900.0,144.83,AIV,https://www.aimco.com/,2024-11-04,,-0.1111,amc,3,,53227000.0,2024
31,AIV,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1994-07-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959034536.png,1204.961577,Apartment Investment and Management Co,13032247900.0,144.83,AIV,https://www.aimco.com/,2024-08-05,,-0.101,amc,2,,51712000.0,2024
32,AIZ,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,2004-02-04,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AIZ.png,8401.42606,Assurant Inc,17707631000.0,51.99,AIZ,https://www.assurant.com/,2024-10-29,,3.328,amc,3,,2945568040.0,2024
33,AIZ,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,2004-02-04,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AIZ.png,8401.42606,Assurant Inc,17707631000.0,51.99,AIZ,https://www.assurant.com/,2024-07-30,,3.9477,amc,2,,2922655180.0,2024
34,AJG,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1984-06-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AJG.png,57668.7034,Arthur J. Gallagher & Co.,16307733800.0,218.5,AJG,https://www.ajg.com/,2024-10-24,,2.332,amc,3,,2846103240.0,2024
35,AJG,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1984-06-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AJG.png,57668.7034,Arthur J. Gallagher & Co.,16307733800.0,218.5,AJG,https://www.ajg.com/,2024-07-25,,2.2728,amc,2,,2789822000.0,2024
36,AKAM,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-10-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AKAM.png,14086.234462000002,Akamai Technologies Inc,16174443000.0,152.32,AKAM,https://www.akamai.com/,2024-11-05,,1.5707,amc,3,,1016656440.0,2024
37,AKAM,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1999-10-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AKAM.png,14086.234462000002,Akamai Technologies Inc,16174443000.0,152.32,AKAM,https://www.akamai.com/,2024-07-30,,1.5617,amc,2,,996856934.0,2024
38,ALB,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,1994-02-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALB.png,10632.710666000004,Albemarle Corp,19802995700.0,117.53,ALB,https://www.albemarle.com/,2024-10-30,,0.7155,amc,3,,1536985144.0,2024
39,ALB,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,1994-02-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALB.png,10632.710666000004,Albemarle Corp,19802995700.0,117.53,ALB,https://www.albemarle.com/,2024-07-31,,0.6148,amc,2,,1398589541.0,2024
40,ALGN,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,2001-01-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALGN.png,18630.711050999995,Align Technology Inc,14084701000.0,75.28,ALGN,https://www.aligntech.com/,2024-10-23,,2.5273,amc,3,,1043833320.0,2024
41,ALGN,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,2001-01-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALGN.png,18630.711050999995,Align Technology Inc,14084701000.0,75.28,ALGN,https://www.aligntech.com/,2024-07-24,,2.3599,amc,2,,1059084258.0,2024
42,ALK,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Airlines,1983-02-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALK.png,4744.485748,Alaska Air Group Inc,12063925040.0,126.89,ALK,https://investor.alaskaair.com/,2024-10-17,,2.2679,amc,3,,3035668342.0,2024
43,ALK,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Airlines,1983-02-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALK.png,4744.485748,Alaska Air Group Inc,12063925040.0,126.89,ALK,https://investor.alaskaair.com/,2024-07-18,,2.4231,amc,2,,2989971457.0,2024
44,ALLE,IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,2013-11-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALLE.png,10026.824532,Allegion PLC,353178103700.0,87.44,ALLE,https://www.allegion.com/corp/en/index.html,2024-07-25,,1.8783,amc,2,,968096106.0,2024
45,ALL,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1993-06-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALL.png,41888.64376,Allstate Corp,18474025000.0,263.92,ALL,https://www.allstateinvestors.com/,2024-10-30,,3.0362,amc,3,,14890457472.0,2024
46,ALL,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1993-06-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALL.png,41888.64376,Allstate Corp,18474025000.0,263.92,ALL,https://www.allstateinvestors.com/,2024-07-31,,0.3461,amc,2,,14167012652.0,2024
47,AMAT,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1972-10-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMAT.png,208210.822076,Applied Materials Inc,14085635300.0,827.97,AMAT,https://www.appliedmaterials.com/,2024-11-14,,2.1845,amc,4,,7056210896.0,2024
48,AMAT,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1972-10-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMAT.png,208210.822076,Applied Materials Inc,14085635300.0,827.97,AMAT,https://www.appliedmaterials.com/,2024-08-15,,2.0669,amc,3,,6804741391.0,2024
49,AMD,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1979-10-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD.png,286249.19142,Advanced Micro Devices Inc,14087494000.0,1616.31,AMD,https://www.amd.com/en,2024-10-29,,0.9498,amc,3,,6691262120.0,2024
50,AMD,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1979-10-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD.png,286249.19142,Advanced Micro Devices Inc,14087494000.0,1616.31,AMD,https://www.amd.com/en,2024-07-30,,0.6805,amc,2,,5777910151.0,2024
51,AME,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,1930-07-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AME.png,37991.102307,AMETEK Inc,16106472121.0,231.47,AME,https://www.ametek.com/,2024-10-29,,1.7471,amc,3,,1848394515.0,2024
52,AME,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,1930-07-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AME.png,37991.102307,AMETEK Inc,16106472121.0,231.47,AME,https://www.ametek.com/,2024-07-30,,1.6609,amc,2,,1803530487.0,2024
53,AMGN,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,1983-06-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMGN.png,169465.085635,Amgen Inc,18054471000.0,536.43,AMGN,https://www.amgen.com/,2024-10-29,,5.2672,amc,3,,8604811585.0,2024
54,AMGN,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,1983-06-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMGN.png,169465.085635,Amgen Inc,18054471000.0,536.43,AMGN,https://www.amgen.com/,2024-08-06,,5.0682,amc,2,,8471410080.0,2024
55,AMG,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,1997-11-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMG.png,4930.068403,Affiliated Managers Group Inc,18003451100.0,31.86,AMG,https://www.amg.com/,2024-11-04,,4.7265,amc,3,,527949220.0,2024
56,AMG,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,1997-11-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMG.png,4930.068403,Affiliated Managers Group Inc,18003451100.0,31.86,AMG,https://www.amg.com/,2024-07-29,,4.6561,amc,2,,525828220.0,2024
57,AMP,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,2005-09-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMP.png,43036.495719,Ameriprise Financial Inc,16126718001.0,99.32,AMP,https://www.ameriprise.com/,2024-10-23,,8.9808,amc,3,,4285433161.0,2024
58,AMP,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,2005-09-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMP.png,43036.495719,Ameriprise Financial Inc,16126718001.0,99.32,AMP,https://www.ameriprise.com/,2024-07-24,,8.6278,amc,2,,4229695806.0,2024
59,AMT,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1998-06-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959033886.png,91508.431311,American Tower Corp,16173757500.0,466.98,AMT,https://www.americantower.com/,2024-10-24,,1.6295,amc,3,,2876279414.0,2024
60,AMT,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1998-06-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959033886.png,91508.431311,American Tower Corp,16173757500.0,466.98,AMT,https://www.americantower.com/,2024-07-30,,1.5822,amc,2,,2851286469.0,2024
61,AMZN,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Retail,1997-05-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.png,2074456.9787260003,Amazon.com Inc,12062661000.0,10406.63,AMZN,https://www.amazon.com/,2024-10-24,,1.1695,amc,3,,161303954752.0,2024
62,AMZN,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Retail,1997-05-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.png,2074456.9787260003,Amazon.com Inc,12062661000.0,10406.63,AMZN,https://www.amazon.com/,2024-07-25,,1.0428,amc,2,,151441277585.0,2024
63,ANSS,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-06-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ANSS.png,28577.651537,ANSYS Inc,18444626797.0,87.3,ANSS,https://www.ansys.com/,2024-10-30,,1.7866,amc,3,,530169816.0,2024
64,ANSS,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1996-06-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ANSS.png,28577.651537,ANSYS Inc,18444626797.0,87.3,ANSS,https://www.ansys.com/,2024-07-31,,1.9581,amc,2,,560717908.0,2024
65,AON,IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1980-06-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AON.png,63742.005586,Aon PLC,35312666000.0,217.43,AON,https://www.aon.com/,2024-10-24,,2.5394,amc,3,,3713972707.0,2024
66,AON,IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1980-06-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AON.png,63742.005586,Aon PLC,35312666000.0,217.43,AON,https://www.aon.com/,2024-07-26,,3.1267,amc,2,,3778551703.0,2024
67,AOS,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,1983-09-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AOS.png,11840.758754,A O Smith Corp,14143594000.0,146.67,AOS,https://www.aosmith.com/,2024-10-24,,0.9949,amc,3,,989579820.0,2024
68,AOS,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,1983-09-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AOS.png,11840.758754,A O Smith Corp,14143594000.0,146.67,AOS,https://www.aosmith.com/,2024-07-23,,1.0642,amc,2,,1006139446.0,2024
69,APA,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Energy,1969-05-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APA.png,10686.628162000005,APA Corp (US),17132966000.0,371.19,APA,https://apacorp.com/,2024-10-30,,1.1735,amc,3,,2438080208.0,2024
70,APA,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Energy,1969-05-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APA.png,10686.628162000005,APA Corp (US),17132966000.0,371.19,APA,https://apacorp.com/,2024-07-31,,1.1255,amc,2,,2412808897.0,2024
71,APD,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,1961-11-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APD.png,56621.314141,Air Products and Chemicals Inc,16104814911.0,222.31,APD,https://www.airproducts.com/,2024-11-05,,3.5911,amc,4,,3374859015.0,2024
72,APD,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,1961-11-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APD.png,56621.314141,Air Products and Chemicals Inc,16104814911.0,222.31,APD,https://www.airproducts.com/,2024-08-01,,3.0758,amc,3,,3072903577.0,2024
73,APH,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,1991-11-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APH.png,82426.88841899998,Amphenol Corp,12032658900.0,1201.21,APH,https://www.amphenol.com/,2024-10-23,,0.4443,amc,3,,3722155595.0,2024
74,APH,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,1991-11-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APH.png,82426.88841899998,Amphenol Corp,12032658900.0,1201.21,APH,https://www.amphenol.com/,2024-07-24,,0.41,amc,2,,3405743876.0,2024
75,APTV,IE,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Auto Components,2011-11-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APTV.png,18794.069566,Aptiv PLC,35312597013.0,272.06,APTV,https://www.aptiv.com,2024-08-01,,1.4454,amc,2,,5450808906.0,2024
76,ARE,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1997-05-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959033376.png,20293.440676,Alexandria Real Estate Equities Inc,16265780777.0,174.88,ARE,https://www.are.com/,2024-10-21,,0.8484,amc,3,,796650630.0,2024
77,ARE,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1997-05-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959033376.png,20293.440676,Alexandria Real Estate Equities Inc,16265780777.0,174.88,ARE,https://www.are.com/,2024-07-22,,0.8105,amc,2,,787900121.0,2024
78,AVB,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1994-03-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959034786.png,28980.330737,Avalonbay Communities Inc,17033296300.0,142.19,AVB,https://www.avaloncommunities.com/,2024-10-23,,1.2433,amc,3,,735361163.0,2024
79,AVB,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,1994-03-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959034786.png,28980.330737,Avalonbay Communities Inc,17033296300.0,142.19,AVB,https://www.avaloncommunities.com/,2024-07-31,,1.2716,amc,2,,724713238.0,2024
80,AVGO,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,2009-08-06,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AVGO.png,806835.6787369999,Broadcom Inc,16504276000.0,465.49,AVGO,https://www.broadcom.com,2024-08-29,,12.2268,amc,3,,13188398907.0,2024
81,AVY,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Packaging,1961-01-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AVY.png,17157.864052000004,Avery Dennison Corp,14405346000.0,80.55,AVY,https://www.averydennison.com/,2024-10-23,,2.4317,amc,3,,2227126083.0,2024
82,AVY,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Packaging,1961-01-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AVY.png,17157.864052000004,Avery Dennison Corp,14405346000.0,80.55,AVY,https://www.averydennison.com/,2024-07-23,,2.2806,amc,2,,2191665771.0,2024
83,AWK,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,2008-04-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AWK.png,25467.204698,American Water Works Company Inc,18569554001.0,194.82,AWK,https://www.amwater.com/,2024-10-30,,1.7911,amc,3,,1228917500.0,2024
84,AWK,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,2008-04-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AWK.png,25467.204698,American Water Works Company Inc,18569554001.0,194.82,AWK,https://www.amwater.com/,2024-07-31,,1.5335,amc,2,,1131705000.0,2024
